symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,regime,year
PRGO,2019-01-28,2019-02-19,45.5308786239624,49.45089923858642,165,646.8034014129636,max_hold,22,CHOPPY,2019
NVDA,2019-01-28,2019-02-19,3.4571504101753234,3.9081678895950316,2173,980.0609827790258,max_hold,22,CHOPPY,2019
XPO,2019-02-19,2019-02-26,18.93525394821167,17.313337837219237,396,-642.2787799530037,stop,7,CHOPPY,2019
OKTA,2019-02-15,2019-03-07,84.92952214050293,81.04757908630371,88,-341.61098876953065,max_hold,20,CHOPPY,2019
NBIX,2019-02-19,2019-03-11,81.05177938842773,79.85995664978027,92,-109.6476919555663,max_hold,20,CHOPPY,2019
KHC,2019-02-26,2019-03-18,33.186238929748534,31.96593878173828,226,-275.7878334503172,max_hold,20,CHOPPY,2019
XPO,2019-03-07,2019-03-22,16.49210683822632,17.07172417831421,455,263.7258897399896,regime_exit,15,CHOPPY,2019
PRGO,2019-03-11,2019-03-22,47.58498168182373,47.1555,157,-67.42862404632461,regime_exit,11,CHOPPY,2019
KHC,2019-03-18,2019-03-22,32.09405877685547,32.22542091369629,234,30.738740020752033,regime_exit,4,CHOPPY,2019
PINS,2019-05-14,2019-05-20,29.0479797706604,25.798300380706788,258,-838.4172826080321,stop,6,CHOPPY,2019
RH,2019-05-14,2019-05-23,99.0777572479248,87.15534182739258,75,-894.1811565399164,stop,9,CHOPPY,2019
MDB,2019-05-14,2019-06-03,133.60667633056642,130.29887756347657,56,-185.23673095703157,max_hold,20,CHOPPY,2019
PINS,2019-05-20,2019-06-10,25.901700382232665,27.884120532989503,290,574.9018437194829,max_hold,21,CHOPPY,2019
TSLA,2019-06-03,2019-06-11,11.955195253372192,14.44438669204712,628,1563.2122234878543,take_profit,8,CHOPPY,2019
PSTG,2019-05-23,2019-06-12,15.851639694213869,15.588759885787963,474,-124.60502919387928,max_hold,20,CHOPPY,2019
DOCU,2019-06-10,2019-06-18,48.4066213760376,53.402978324890135,155,774.4353270721432,regime_exit,8,CHOPPY,2019
ANF,2019-06-11,2019-06-18,15.5410202293396,15.7185,483,85.72272922897379,regime_exit,7,CHOPPY,2019
PSTG,2019-06-12,2019-06-18,15.6512398853302,16.10771939086914,480,219.1101626586905,regime_exit,6,CHOPPY,2019
METC,2019-08-08,2019-08-14,3.6591477127075196,3.176792794704437,2053,-990.2746466603281,stop,6,CHOPPY,2019
NTAP,2019-08-08,2019-08-28,47.8455,46.72635969543457,157,-175.70502781677314,max_hold,20,CHOPPY,2019
ALGN,2019-08-08,2019-08-28,188.65655877685546,176.95537756347656,39,-456.3460673217772,max_hold,20,CHOPPY,2019
ETSY,2019-08-14,2019-09-03,52.94568015289307,50.19939923858642,141,-387.22560891723697,max_hold,20,CHOPPY,2019
ZG,2019-08-28,2019-09-11,32.84555877685547,32.814241065979004,228,-7.140438079833984,regime_exit,14,CHOPPY,2019
NTAP,2019-08-28,2019-09-11,46.91363969421387,56.10756121826172,160,1471.0274438476563,regime_exit,14,CHOPPY,2019
ULTA,2019-09-03,2019-09-11,237.88482366943356,227.69369390869144,31,-315.92502258300556,regime_exit,8,CHOPPY,2019
DDOG,2019-10-09,2019-10-14,36.8235,33.02382015228272,204,-775.1346889343263,stop,5,CHOPPY,2019
CELH,2019-10-09,2019-10-17,1.0754796910285949,1.0711863589286805,6987,-29.99751138210148,rank_decay,8,CHOPPY,2019
DDOG,2019-10-17,2019-10-21,34.0279190826416,29.94998022842407,220,-897.146547927857,stop,4,CHOPPY,2019
ACAD,2019-10-09,2019-10-29,39.95976107025147,42.175478324890136,188,416.5548438720698,max_hold,20,CHOPPY,2019
NET,2019-10-14,2019-10-29,15.721379579544067,15.68856026649475,478,-15.687631637573134,regime_exit,15,CHOPPY,2019
PTON,2019-10-21,2019-10-29,22.304520229339598,23.13364030456543,336,278.58434527587906,regime_exit,8,CHOPPY,2019
CZR,2020-02-28,2020-03-02,50.28036030578613,45.33914030456543,149,-736.2417801818842,stop,3,CHOPPY,2020
DVN,2020-02-28,2020-03-06,16.2724797706604,13.343259885787964,461,-1350.3703669261931,stop,7,CHOPPY,2020
ARCB,2020-02-28,2020-03-06,19.849619464874266,19.590739162445068,378,-97.85675431823672,regime_exit,7,CHOPPY,2020
PANW,2020-03-02,2020-03-06,31.611428878784178,29.30294429779053,237,-547.110845695495,regime_exit,4,CHOPPY,2020
OMCL,2020-05-29,2020-06-09,67.04382366943359,69.89992091369629,112,319.8828913574223,regime_exit,11,CHOPPY,2020
XYL,2020-05-29,2020-06-09,66.4726763305664,70.12945664978028,113,413.21617607116843,regime_exit,11,CHOPPY,2020
EIX,2020-05-29,2020-06-09,58.226220611572266,61.50674106597901,129,423.1871386184696,regime_exit,11,CHOPPY,2020
MSC,2020-07-10,2020-07-15,15.821579961776733,14.2215,474,-758.437901882171,stop,5,CHOPPY,2020
GM,2020-07-10,2020-07-22,24.438779388427736,26.247399238586425,307,555.2462939987174,regime_exit,12,CHOPPY,2020
VLO,2020-07-10,2020-07-22,53.75730152893066,56.95585969543457,139,444.5995851440432,regime_exit,12,CHOPPY,2020
C,2020-07-15,2020-07-22,51.943680152893066,51.556679847717284,144,-55.728043945312606,regime_exit,7,CHOPPY,2020
